,County weight 01,Perimeter,Slack,phi
County weight 01,1.0,0.17,-0.01,-0.16
Perimeter,0.17,1.0,0.06,-0.28
Slack,-0.01,0.06,1.0,-0.02
phi,-0.16,-0.28,-0.02,1.0
