,County weight 01,Perimeter,Slack,phi
County weight 01,1.0,0.07,-0.12,-0.27
Perimeter,0.07,1.0,0.38,-0.44
Slack,-0.12,0.38,1.0,-0.12
phi,-0.27,-0.44,-0.12,1.0
