,Kruskal weight,Cut edge count,Polsby-Popper,Conformal Polsby-Popper,Total perimeter,Total conformal perimeter,Total conformal linear perimeter,County edges,avg slack,avg root phi
0,Standard ReCom,5857,0.21242193325014583,0.2757365288402526,147.11906779314805,181496.9209814269,154279.7981956535,550,0.18848121633691975,2952.3437125298306
1,Standard ReCom,5858,0.2123352663307913,0.2756121279334,147.1237378119352,181543.8570621045,154299.82254770858,550,0.18865352997269227,2954.5330065825146
2,Standard ReCom,5859,0.2122416973971136,0.27538122192374614,147.1854068865655,181581.17725607753,154330.37288514187,549,0.18868515039255893,2954.1451239103726
3,Standard ReCom,5860,0.2122241993942932,0.27531898760663825,147.18649494598793,181610.21229090757,154364.214562004,549,0.18861373714336435,2956.846754819093
4,Standard ReCom,5857,0.21202469373450275,0.27514226887533344,147.17600583523972,181577.76806647546,154326.2582975743,546,0.18868503555528146,2957.1609817789686
5,Standard ReCom,5857,0.21234047462707395,0.27564558826881796,147.22764096031884,181546.44745253163,154278.46386032383,546,0.18871594030989983,2956.247669852835
6,Standard ReCom,5851,0.21207431308293906,0.2760020540501377,147.2799047242307,181491.84736934022,154209.9572953501,546,0.1890103439494868,2957.3188648275295
7,Standard ReCom,5851,0.21198391805297487,0.27595485448163615,147.2317743170004,181403.6288314123,154177.08508462328,540,0.18887404859846435,2957.2910513243246
8,Standard ReCom,5849,0.21197251076435106,0.2758621077822837,147.27651321781403,181425.80072248235,154185.3672200959,542,0.21091787185347113,2957.7744062827423
9,Standard ReCom,5842,0.21205584020931786,0.2763745203237749,147.21320925463078,181240.68760606713,154060.04677205917,542,0.2107699979804959,2957.8269097301195
10,Standard ReCom,5843,0.21212859475471807,0.2764428571487223,147.19586199901408,181196.0439286064,154027.24588385536,543,0.21072609261148348,2957.8234583503113
11,Standard ReCom,5843,0.21217448143986348,0.27648934806976805,147.1832396468901,181144.2672158767,153988.1034134392,543,0.2106939942490743,2957.8041827209154
12,Standard ReCom,5844,0.21228428839536745,0.2763422083408913,147.14866279048704,181178.10147198677,153993.00965738128,543,0.2107099380723993,2958.6989408242725
13,Standard ReCom,5844,0.2123852012613507,0.2763703777426411,147.15142166945728,181220.90124750807,154004.68092962092,543,0.21089268863854643,2958.9716328940813
14,Standard ReCom,5851,0.21216152737106975,0.27611978492381833,147.16783597409648,181358.96629088992,154061.86521010898,543,0.21110620472389358,2966.3079719830566
15,Standard ReCom,5856,0.21206779953406313,0.27586213815745625,147.1774204371573,181441.267243406,154165.45440563918,543,0.210920076239612,2969.214392634798
16,Standard ReCom,5853,0.2122618330705482,0.2759916092522015,147.08757878006085,181387.18888544713,154075.29987752408,542,0.21331098791269412,2970.387271786097
17,Standard ReCom,5853,0.2122618330705482,0.2759916092522015,147.08757878006085,181387.18888544713,154075.29987752408,542,0.21331098791269412,2970.387271786097
18,Standard ReCom,5853,0.21220965893561652,0.27588790155961196,147.11312168736836,181460.45623416454,154131.72906247005,542,0.21338441357568821,2970.6476326940506
19,Standard ReCom,5853,0.21220965893561652,0.27588790155961196,147.11312168736836,181460.45623416454,154131.72906247005,542,0.21338441357568821,2970.6476326940506
20,Standard ReCom,5841,0.21267899129229992,0.2767186013992272,147.0719971444957,181183.78096670934,153879.2383314076,540,0.21364585930409838,2961.857107035513
21,Standard ReCom,5843,0.21258374464926277,0.2765245575077594,147.0955612822944,181291.44817603333,153971.96114568814,541,0.21361295440268613,2962.352674185013
22,Standard ReCom,5831,0.21305080129293752,0.2772934225752112,147.0228800120699,180760.00615534672,153526.10203784175,541,0.21363073041943523,2952.987964140068
23,Standard ReCom,5820,0.21313013643957435,0.277562439491732,147.00954736995152,180580.9077252795,153383.02024393855,541,0.21347478744904458,2949.9088816059684
24,Standard ReCom,5817,0.21329838101501444,0.2776773423740246,146.88190287462095,180543.8565410644,153346.9625296115,540,0.21357237092431705,2951.2408201926537
25,Standard ReCom,5814,0.21343810427603876,0.27910423301228965,146.99606290284262,180307.54108511252,153202.1396652841,540,0.21350613497847953,2948.7122572379676
26,Standard ReCom,5812,0.21321845691420044,0.2789150800688784,147.0184680097919,180348.42928922907,153166.9717145162,540,0.21376870531417233,2948.4116486588932
27,Standard ReCom,5811,0.2125374715046262,0.27835315111373493,147.1439350004694,180372.6754651106,153183.4988114388,540,0.21388446888791104,2947.244326250675
28,Standard ReCom,5818,0.21265731751282607,0.2782130475773385,147.10607187618913,180512.87314973038,153314.17690625193,541,0.21365848048724953,2948.129596962001
29,Standard ReCom,5825,0.2127630801458526,0.2778727271302445,147.06927408401995,180598.00329431216,153386.22702079377,541,0.21334723517141352,2950.4722588158083
30,Standard ReCom,5821,0.21279410979935687,0.27791234030853373,147.10550575378176,180580.73265496557,153285.74676216493,541,0.21422714241634963,2948.6416021880586
31,Standard ReCom,5827,0.21185391915206142,0.2773142467723709,147.354058153568,180711.9128726737,153448.78293086306,540,0.20718029638423463,2946.294395233769
32,Standard ReCom,5821,0.21197865635412755,0.2777041072662458,147.2979157268665,180462.6419311394,153237.36456408745,543,0.20675907086610518,2945.011389912848
33,Standard ReCom,5805,0.212379367781524,0.2783327314729707,147.1524683405056,180109.95572585036,152799.12927068764,543,0.20773778863686768,2945.8773658313576
34,Standard ReCom,5799,0.21248256354658301,0.2786666166672452,147.11138370645176,179877.79442143088,152795.2926785632,543,0.20633100547764166,2943.644032142606
35,Standard ReCom,5796,0.21359711790524744,0.2793815028712242,146.86507396880185,179612.620946128,152561.02048682168,543,0.2063801776974127,2944.492489423754
36,Standard ReCom,5798,0.2133745466781637,0.279233251751584,146.89892860206248,179701.64492680144,152638.54050261356,543,0.20646347499824377,2943.785176207169
37,Standard ReCom,5796,0.21359329932687993,0.27956269605720974,146.62074038635546,179551.83195431918,152495.11225852693,543,0.20656967669114557,2944.5137119700676
38,Standard ReCom,5790,0.2140596030035166,0.2799841245031204,146.104579090368,179351.35271126183,152292.91352456855,536,0.20680092032572625,2947.176787410865
39,Standard ReCom,5788,0.21376940191778712,0.27979252176677216,146.1487120119035,179411.46331041039,152221.21734212583,536,0.20755223388121874,2946.6932473418387
40,Standard ReCom,5796,0.21335656370855077,0.27922875612845566,146.20733405537777,179570.08354280758,152380.9553617933,536,0.20726441781573476,2945.9513945869976
41,Standard ReCom,5792,0.21387788865864907,0.27971234018939223,146.08907977769005,179373.47516835673,152233.3380506596,536,0.20721292055374513,2946.501862869023
42,Standard ReCom,5792,0.21361744792379467,0.27950126038481105,146.24658773375668,179517.28647933985,152340.39092153023,532,0.20739969757460539,2945.6575253446413
43,Standard ReCom,5798,0.21345362462518838,0.27939265947991987,146.26056580799496,179576.39621891003,152385.95441771377,532,0.2073362214390136,2949.293263452647
44,Standard ReCom,5786,0.2143881917840597,0.2811541490347525,145.95073845065195,179359.5884104638,152221.41032277074,532,0.20708283052219117,2953.865617866115
45,Standard ReCom,5785,0.21421305959969722,0.2809286328724679,146.19127388506297,179461.2587484058,152302.46840207002,533,0.20724071996900886,2954.3148691266542
46,Standard ReCom,5781,0.21458605319261073,0.28176588313271406,146.0557895646923,179254.48534339693,152200.03909361275,533,0.20676740605603372,2955.3703938603962
47,Standard ReCom,5770,0.21474078848404324,0.2827196933469697,146.0226877437072,179052.23538215738,152055.92880397398,533,0.2068203046982483,2953.398370909071
48,Standard ReCom,5769,0.2146265981560412,0.282786257289019,146.03427118246944,178973.16698065455,151976.36144932816,533,0.2068376324251589,2952.488094832691
49,Standard ReCom,5763,0.21487525236186075,0.2830062857183397,146.02649123367058,178904.73346493888,151916.4286863735,533,0.2070557841039913,2946.9000788184408
50,Standard ReCom,5753,0.21533148116167597,0.28370565566405,145.8285613000857,178627.82793871826,151685.1444849064,533,0.20699301607235854,2949.192564163009
51,Standard ReCom,5748,0.21523872421814413,0.2836452470219636,145.82018146646294,178662.68746541976,151702.75177097268,531,0.20697946999531663,2949.2202793649026
52,Standard ReCom,5751,0.21557696083337743,0.28399616155768886,145.78727506622778,178548.79249744763,151662.14204850962,531,0.206619183228697,2951.7903724662283
53,Standard ReCom,5738,0.21582406346482833,0.2842214181235571,145.35887890680863,178389.30878399487,151483.96481917403,530,0.20704174528256652,2957.6695675967867
54,Standard ReCom,5732,0.2162824353303166,0.2845492632573428,145.29306369684176,178130.56932712742,151250.58697732893,530,0.20711218588670496,2950.3943405386817
55,Standard ReCom,5732,0.2162824353303166,0.2845492632573428,145.29306369684176,178130.56932712742,151250.58697732893,530,0.20711218588670496,2950.3943405386817
56,Standard ReCom,5737,0.21619178441433917,0.28409514394340724,145.28914142583574,178207.0043230951,151229.03864843113,530,0.20769957902399205,2950.6715609577473
57,Standard ReCom,5741,0.21603481389934107,0.2840420665791676,145.33059506828897,178259.68882526067,151317.21642816364,530,0.2074514384625217,2949.758817728667
58,Standard ReCom,5750,0.21567040491136613,0.28356341880945496,145.58422398366147,178599.46206353678,151574.8337612865,530,0.2077673562414446,2946.8839576151936
59,Standard ReCom,5750,0.21587377066472524,0.28370778965341586,145.35504726352252,178560.18181562016,151555.5636273571,530,0.2079648392919994,2947.034883095383
60,Standard ReCom,5742,0.21611427252191634,0.2838134268437096,145.21859477607163,178563.39150671923,151554.6955993833,533,0.2077446530236535,2950.71019089399
61,Standard ReCom,5741,0.21605786877508826,0.28373982465338576,145.12314833164575,178516.1056706674,151514.30816961348,534,0.2077786147741292,2951.119917892108
62,Standard ReCom,5736,0.21648009014044184,0.28436092453498957,144.9186290590453,178263.5523222759,151273.641553421,537,0.20824243716094012,2952.403678023373
63,Standard ReCom,5732,0.21645432124974287,0.2843685428001993,144.9251634172236,178265.19001366955,151272.90082593737,537,0.20826938297869085,2951.3001061869904
64,Standard ReCom,5734,0.2165388722504693,0.284168846524601,144.8720576663095,178263.66216301316,151283.4603153778,537,0.20808728362561535,2950.425062522186
65,Standard ReCom,5736,0.21638873090777605,0.28425085120980653,144.82104931697862,178265.25400470226,151290.22272044388,544,0.20805729141526888,2950.00770118933
66,Standard ReCom,5735,0.21643391289603672,0.28436205698242034,144.82242555496865,178250.1383022797,151306.4906710147,544,0.20785242485703237,2949.9806918799436
67,Standard ReCom,5731,0.2168870146143227,0.2846217383519185,144.74538405176756,178089.05802690724,151220.75354197426,547,0.2076358550826314,2948.895511493393
68,Standard ReCom,5729,0.21692455502762015,0.28467529694030536,144.72962811248712,178049.29227196422,151178.10305223812,547,0.20770604758389483,2949.070121527886
69,Standard ReCom,5729,0.21692455502762015,0.28467529694030536,144.72962811248712,178049.29227196422,151178.10305223812,547,0.20770604758389483,2949.070121527886
70,Standard ReCom,5729,0.21692455502762015,0.28467529694030536,144.72962811248712,178049.29227196422,151178.10305223812,547,0.20770604758389483,2949.070121527886
71,Standard ReCom,5730,0.21651702810147802,0.2842059182679123,144.88136786728273,178110.15852149783,151208.65964215796,544,0.2077071763731554,2948.627967449106
72,Standard ReCom,5740,0.2162323830146393,0.28314119130540366,145.31331049813153,178461.90530858494,151507.47943467202,545,0.20760969792101866,2947.3365175008234
73,Standard ReCom,5760,0.21565245708719358,0.28061710624691727,145.72490298979716,179091.73362065302,152006.98209821884,544,0.2074814282924754,2943.5881311492585
