,Kruskal weight,Cut edge count,Polsby-Popper,Conformal Polsby-Popper,Total perimeter,Total conformal perimeter,Total conformal linear perimeter,County edges,avg slack,avg root phi
0,Standard ReCom,4179,0.18525860904711094,0.2644108656542415,141.43952849530783,195764.7785539925,160005.2106629876,333,0.2340826667167319,2712.5297991550106
1,Standard ReCom,4174,0.18572563963781513,0.2650803062717596,141.3782199364967,195279.92195505562,159563.62421945285,333,0.23398216150993445,2705.966197953865
2,Standard ReCom,4174,0.18572563963781513,0.2650803062717596,141.3782199364967,195279.92195505562,159563.62421945285,333,0.23398216150993445,2705.966197953865
3,Standard ReCom,4166,0.18588063594277582,0.2655637233426523,141.2812849567624,194997.57664415255,159325.82070094105,333,0.2345224736566087,2705.7245647060627
4,Standard ReCom,4168,0.18600290398574088,0.2654518106393551,141.25008156570138,195033.59154076432,159264.50910320622,329,0.23511708601873016,2706.595938670991
5,Standard ReCom,4168,0.18600290398574088,0.2654518106393551,141.25008156570138,195033.59154076432,159264.50910320622,329,0.23511708601873016,2706.595938670991
6,Standard ReCom,4156,0.18639297249705067,0.2671755479619969,141.20729739471682,194423.95496726368,158674.53713968548,329,0.23576594219672767,2701.553464825046
7,Standard ReCom,4159,0.18624505704395,0.26657934294526614,141.29300923155492,194718.5662020362,158922.44968110885,327,0.23575611710137245,2702.6178777267396
8,Standard ReCom,4168,0.184358008419434,0.26582573307399415,141.46771829743466,194972.72038165983,159189.62228113814,327,0.23535850470306516,2704.094149961171
9,Standard ReCom,4185,0.1826528804624909,0.2591244528117882,142.42387988647263,195954.4495507924,160100.9137794959,322,0.2340421093676498,2700.116676829304
10,Standard ReCom,4182,0.18325810463104197,0.2615882176275664,142.1625300870461,195565.19163071873,159732.68409542553,325,0.23416750876343678,2697.1342744473704
11,Standard ReCom,4190,0.18277364369377722,0.26074326168715023,142.32356104851615,196151.72222955807,160227.90271424162,331,0.2338279402993381,2698.6310781211755
12,Standard ReCom,4198,0.1829470560374445,0.2609164868058883,142.3653361435455,196038.0368509379,160200.34234909402,331,0.233508563145955,2698.478215503085
13,Standard ReCom,4197,0.18284396649971033,0.25942088879412045,142.413663170122,196243.69341173605,160302.48537984476,331,0.2340199348538755,2699.953803908217
14,Standard ReCom,4198,0.1830881851130521,0.25941429159477397,141.5124837770731,196241.28853754108,160447.80771115728,332,0.2294564249505496,2703.546679878626
15,Standard ReCom,4202,0.18302152563330368,0.2593687749228278,141.5765430225425,196285.09319854167,160484.65402899167,334,0.22936354098286912,2702.0426289047236
16,Standard ReCom,4209,0.1823683838515544,0.25843943725668966,141.6935996920474,196871.6926546233,160913.32095183377,334,0.23006650217431124,2708.0243515200787
17,Standard ReCom,4197,0.18423240411599828,0.2707023998835085,141.21330284419983,196201.42150929378,160321.20801385472,333,0.2301723188758913,2715.4845781384115
18,Standard ReCom,4191,0.18454154303748627,0.2712853198184375,141.15348107841766,195817.16768952736,159936.5940745674,335,0.23048923463552723,2708.7464440364806
19,Standard ReCom,4189,0.18537839132497017,0.2724546202217064,140.69587445563516,195004.39654748968,159638.68134168163,337,0.2294412611295467,2709.1484017457587
20,Standard ReCom,4190,0.18485707286717853,0.2719054645815116,140.7568220946789,195182.43746036993,159794.71830669057,337,0.22948901351089115,2709.031610692166
21,Standard ReCom,4186,0.18478545087651868,0.27203106561432305,140.99302354110827,194837.6027455848,159488.3472493501,336,0.23052141605435011,2704.4387764890625
22,Standard ReCom,4186,0.18478545087651863,0.27203106561432305,140.99302354110827,194837.6027455848,159488.3472493501,336,0.23052141605435011,2704.4387764890625
23,Standard ReCom,4183,0.18496275376536891,0.27230979304127456,141.00065534117076,194897.45664350985,159486.20028641802,336,0.2306834838506536,2702.627605935876
24,Standard ReCom,4170,0.1851937988534478,0.27271881963214617,140.98210909596224,194503.76903441362,159267.1263914193,339,0.23026569403215144,2701.6983447076323
