,Kruskal weight,Cut edge count,Polsby-Popper,Conformal Polsby-Popper,Total perimeter,Total conformal perimeter,Total conformal linear perimeter,County edges,avg slack,avg root phi
0,Standard ReCom,1834,0.15613038444518215,0.1633444251041697,54.010988220450166,60065.75014155979,47537.81962113811,200,0.2561799273107795,2055.6822185619926
1,Standard ReCom,1818,0.1501463032279801,0.16291502109221115,53.86056330897883,59873.82227482285,47445.05786323533,196,0.25567116862132055,2023.5849717710728
2,Standard ReCom,1853,0.14980180798048306,0.15924568568695083,53.96724969285959,60915.291235946155,48421.61244311823,196,0.25985443018188464,2072.740953036627
3,Standard ReCom,1793,0.15260237596104137,0.17807102874432784,53.627527514223516,58513.22877828641,46609.422397354,202,0.259520284057912,2041.9092894214077
4,Standard ReCom,1751,0.15655600568982656,0.1850369792293028,52.83987042736006,56843.06748466077,45277.33791411571,205,0.2615357305810717,2026.2093020527334
5,Standard ReCom,1755,0.154487819097963,0.1826264586015803,53.08388706097624,57049.76753611899,45429.050354470826,203,0.2618016124524331,2019.3790356652423
6,Standard ReCom,1739,0.15559921862115553,0.186720169329656,52.96298841910554,56525.10733810435,44956.53103682179,203,0.26299234581695413,2007.8224096118488
7,Standard ReCom,1747,0.1539650766692226,0.1859037675976476,53.27778213866745,56819.619286627676,44972.21696807985,203,0.258997327243994,1970.1523824107283
8,Standard ReCom,1758,0.1541452031513492,0.1852947437511199,53.12936691015383,56917.995864132194,45141.043504413676,208,0.2623850336742798,1969.9505603383404
9,Standard ReCom,1837,0.1485615840748926,0.17516048437068438,54.07501654093213,58723.651135357824,46568.331235487036,214,0.2598577246529265,2016.7848460956482
10,Standard ReCom,1856,0.14747282794720987,0.17221955070028397,54.69440427365729,59334.82639059427,47098.72339241019,217,0.2580171475156458,2009.4068357284261
11,Standard ReCom,1811,0.1549298162344867,0.18114344040308866,52.91809641321286,56708.29254584807,45512.87551566918,230,0.2537815768666174,2014.7728520435112
12,Standard ReCom,1836,0.1522623329867444,0.17566828960709305,53.23452175337196,57526.67214272976,46163.76825165239,234,0.2526429935914474,2017.4457264478235
13,Standard ReCom,1833,0.1524614432926386,0.17494823096758108,52.99007539221038,57513.79903663299,46028.84612178621,233,0.2518959630544997,2024.9193432793813
14,Standard ReCom,1814,0.15296211525816955,0.17600237759042162,52.501559674819596,57171.81429001537,45875.14016773752,229,0.2508768352122058,2026.756148388531
15,Standard ReCom,1800,0.15306488455344214,0.17641656010095313,52.21764212545408,56935.60589255834,45588.68666099667,219,0.25588615539065346,2031.7326174740506
16,Standard ReCom,1764,0.15705410480169996,0.18589916872959591,52.04401605114297,55986.50168793568,44736.29352238992,218,0.2589993169396783,2001.2033375052624
17,Standard ReCom,1806,0.15384769740968302,0.17926498242570096,52.99842799326747,57668.36009384352,46088.38727781773,215,0.2543598234638869,2036.2965233016394
18,Standard ReCom,1837,0.14912821228923787,0.17462403231373982,53.40877425696799,58300.91485220283,46574.393506017535,214,0.25421213471932497,2043.082853322572
19,Standard ReCom,1842,0.1491271839701588,0.17524657918069744,53.41641842937355,58110.66217729449,46676.60144974888,218,0.24157144975077097,2057.5373822766633
20,Standard ReCom,1827,0.15492627502914053,0.18209501119467641,52.64536304262316,57574.31948206115,46418.456620644974,228,0.22975423761242825,2066.3187472611226
21,Standard ReCom,1843,0.15511382784668576,0.18229175262219957,52.707049289353456,57615.201191677545,46619.66398958094,238,0.22609697369511644,2068.262315619703
22,Standard ReCom,1832,0.15500831179956115,0.18359993354144716,52.437346591069094,57260.48058644339,46358.055459245814,236,0.22825037632787537,2064.966050748233
23,Standard ReCom,1840,0.1515940591819246,0.18059381978370237,52.55700474502309,57648.8404772727,46688.13560092068,236,0.22758620806072233,2067.688116474968
24,Standard ReCom,1855,0.14885072889006778,0.1779841230066778,53.14403054188806,58123.568948264176,47078.09645947818,247,0.23049707205493405,2059.2927235735824
25,Standard ReCom,1822,0.15824646694065425,0.19136459719290558,51.6223059963903,57177.93428486685,46348.273216282185,235,0.2315226100955664,2071.2558057407664
26,Standard ReCom,1805,0.16254561405126378,0.1987684959338661,51.70236497353592,56574.65605150566,45725.79925081955,233,0.2328745814085843,2065.9529986525663
27,Standard ReCom,1830,0.15699757672566558,0.189036011037497,52.89200850304474,57802.839453552006,46415.569213188646,233,0.2370045817459919,2055.645538775627
28,Standard ReCom,1858,0.15491128017709033,0.18588840878402868,53.63052159654146,59302.92652186123,47234.81128530053,244,0.24341355221559868,2058.508043539757
29,Standard ReCom,1850,0.16174814962773648,0.1935063680386513,53.186420266109245,58813.86014162194,46887.11361640014,247,0.2375052150903894,2058.430857691339
