,Kruskal weight,Cut edge count,Polsby-Popper,Conformal Polsby-Popper,Total perimeter,Total conformal perimeter,Total conformal linear perimeter,County edges,avg slack,avg root phi
0,Standard ReCom,1497,0.20653683152745977,0.2514482053619179,81.61918360900857,81354.56013798587,66540.82998178605,334,0.21461659859326973,1537.5723192555536
1,Standard ReCom,1487,0.20793129899575064,0.2551409942208521,81.48754964019977,80807.50209524829,66106.44673240962,334,0.21455994903003925,1523.0987207433975
2,Standard ReCom,1486,0.20600557516860782,0.254597722074003,81.88671653174961,80880.37766187002,66059.19331586343,333,0.21627662646110618,1521.2175291564124
3,Standard ReCom,1483,0.2064614411102195,0.2551869107618734,81.62036337889663,80638.00230913947,65804.34508848468,335,0.21750628487837145,1522.452952730293
4,Standard ReCom,1478,0.20611452132314587,0.25550258543135146,81.6345574336852,80501.127127295,65620.61514454726,335,0.21909135260974658,1510.0090616661837
5,Standard ReCom,1483,0.20477343071781107,0.2532217532122743,81.80181257650084,80805.07512581914,65840.30148121162,335,0.21910863104394854,1511.0830520130273
6,Standard ReCom,1494,0.2030829725001048,0.25119974840962916,81.94554788753516,81228.70868898026,66242.77858382923,337,0.21738932826889631,1523.4240073640672
7,Standard ReCom,1515,0.20081196870426304,0.24745436813573438,83.00022873745525,82336.12633061878,66987.88420446371,340,0.22179847415363188,1521.108629997996
8,Standard ReCom,1515,0.20040351177408308,0.2471328971644944,83.08243056735668,82426.97389561721,67040.768855014,338,0.22218390127020202,1521.3096320126556
9,Standard ReCom,1527,0.19997252389057668,0.24608221686505694,82.90990317692199,82685.50283737428,67431.05099014242,343,0.21695329849889256,1526.3554783330546
10,Standard ReCom,1531,0.19998667367093298,0.24513039883934817,82.98576891299179,82942.09423946562,67722.44926010075,345,0.21618108823579416,1529.670262912976
11,Standard ReCom,1531,0.19998667367093298,0.24513039883934817,82.98576891299179,82942.09423946562,67722.44926010075,345,0.21618108823579416,1529.670262912976
12,Standard ReCom,1530,0.2015264513986217,0.24036308596530034,82.76207437272294,83119.85869427383,67861.01405186945,336,0.2168412389265022,1549.226482289416
13,Standard ReCom,1530,0.20123584270925238,0.23849411551484034,82.82777737348536,83364.3323728537,67968.95354155722,332,0.21807090870183873,1550.3857155826904
14,Standard ReCom,1539,0.1993901228151018,0.23644466229513156,83.10595643497443,83991.22202298301,68496.5643168008,334,0.21791701950072132,1550.5518787271044
15,Standard ReCom,1535,0.20098014091607838,0.23826597826829715,82.71924729286098,83697.11486200088,68344.99739451316,332,0.21705947302815817,1552.3266057818414
16,Standard ReCom,1541,0.19926562743699042,0.23702670754899566,83.23957014010429,83899.35367530287,68524.97953906105,335,0.21529442902127113,1547.4237283102682
17,Standard ReCom,1532,0.20152112544801654,0.23868148788067373,82.25848486613255,83563.68794321807,68313.50846233117,328,0.2137808776874331,1554.15832318889
18,Standard ReCom,1524,0.2019321229601704,0.23913006808382764,82.09838863406154,83297.90609009686,68028.80293920034,327,0.21507197546679346,1549.5948645966841
19,Standard ReCom,1503,0.20282975986437513,0.24254089461921463,81.56470096143799,82279.2591046385,67336.8532301934,331,0.21145001563564725,1546.9358497120643
20,Standard ReCom,1498,0.20333079902164194,0.24336288246433696,81.52057947833671,82100.56244031743,67036.61688008867,332,0.21346972593878097,1534.3165954825547
21,Standard ReCom,1498,0.20356681071103264,0.24747003029609552,81.49946167005497,81879.7744565529,66849.32342736586,333,0.2130713362248052,1529.912771313053
22,Standard ReCom,1501,0.20324580735546896,0.24809870641504206,81.8936501747307,82066.0711311278,66978.87496670807,333,0.21344408354648542,1526.9749606724265
