,Kruskal weight,Cut edge count,Polsby-Popper,Conformal Polsby-Popper,Total perimeter,Total conformal perimeter,Total conformal linear perimeter,County edges,avg slack,avg root phi
0,Standard ReCom,2459,0.17185364776360096,0.30594394729093966,84.64760525571985,112630.52512883389,94904.85365961344,229,0.2396290493668943,2696.090928119065
1,Standard ReCom,2415,0.17824121004223298,0.3168155458620406,84.17636142827018,110476.48141108896,93050.26311135587,229,0.24003494158602018,2645.977459786924
2,Standard ReCom,2406,0.17896101740653264,0.32044548399280537,83.99969176073594,110211.77714340632,92783.14229118495,230,0.24081583329188497,2645.218402508749
3,Standard ReCom,2387,0.18330036281683826,0.32402338987828455,82.15557293353443,109930.32292485099,92539.88348076334,227,0.2259040139501139,2661.3468456865717
4,Standard ReCom,2410,0.1823322620018007,0.31209115493118544,82.21687121630697,111470.14627619146,94289.74915279771,227,0.22130082403995652,2729.4831438103593
5,Standard ReCom,2440,0.17974688895312504,0.2518059268657216,83.11620008186124,112819.64388834208,95354.30340029915,228,0.2228448067738268,2714.852194679664
6,Standard ReCom,2441,0.17893496150791835,0.2510267057835672,83.22323782746993,113130.20853574571,95495.854351636,230,0.2239396586374577,2715.288745382672
7,Standard ReCom,2440,0.17860082777053027,0.25114822288780014,83.42966747727826,113285.21477156878,95517.87093324862,222,0.24717780652365795,2714.658187169247
8,Standard ReCom,2446,0.17774174629678968,0.2487183999137455,83.8003102718491,113756.06815360706,95737.89703877228,215,0.24819082606756543,2711.783731206586
9,Standard ReCom,2400,0.18143152893743222,0.2575453927526289,82.40683995985336,111982.33729136967,94445.82980181575,216,0.2453456129938252,2728.2223023547076
10,Standard ReCom,2396,0.18089345053854625,0.2578214987012602,82.44466498997289,112067.12759623908,94555.46799921905,215,0.2456494891036579,2729.7762966016157
11,Standard ReCom,2389,0.18177906161363547,0.258591808972379,82.0992201170047,111539.89835129621,94144.76231672474,217,0.2454111155232255,2728.3014209750086
12,Standard ReCom,2376,0.18322603901532147,0.259797434669692,80.9785338059176,111250.7550422716,93923.49087758546,211,0.24623719964118793,2742.0948699528576
13,Standard ReCom,2394,0.18221545941138875,0.25869372478415636,81.87313363898097,112012.19275469062,94488.62314712869,212,0.24654933309662128,2728.2918878577634
14,Standard ReCom,2374,0.18341141833489644,0.26086712254618166,80.89753143172196,111145.40930800313,93844.1544627185,211,0.24618122885708282,2743.070153144868
15,Standard ReCom,2377,0.18213422594539322,0.25948007143813456,81.00189395769993,111506.98600363226,94118.91040004462,214,0.2462951632582174,2739.8976531987623
16,Standard ReCom,2373,0.1830644212263445,0.26053339733282654,80.91826656292442,111279.3789260829,93910.47829683461,214,0.24633690376739817,2742.6434256256384
17,Standard ReCom,2379,0.1820796667797541,0.2582177794294224,80.8826723119905,112079.51451800983,94546.95390789075,216,0.2464797787018356,2758.4065206462237
18,Standard ReCom,2379,0.18201736310221558,0.25349165780553384,80.85785728771906,112592.12739696271,95044.35984701231,216,0.24670937728822767,2785.382959890588
19,Standard ReCom,2347,0.1828130481420667,0.2593233442651315,79.69769242353495,111405.33177155151,94116.7358992157,222,0.24366763654201876,2794.38308448457
20,Standard ReCom,2356,0.179073017909871,0.26071477255884556,81.57090813329545,111591.85984143957,94223.93765715067,223,0.24453877247557532,2784.8812008893847
21,Standard ReCom,2391,0.17663595040960087,0.250545041891297,81.92447505270654,113233.25343993622,95620.53807365,223,0.29621147489038885,2821.331425538031
22,Standard ReCom,2397,0.17471405266475173,0.24692225109841645,82.41636746822778,113982.53314913002,96064.19551488635,226,0.2976400902457086,2818.1897010962175
23,Standard ReCom,2379,0.17587546470257703,0.2523426499159383,82.16770650785998,112903.15310633495,95396.59075656201,228,0.3083599717042556,2813.1825845589847
24,Standard ReCom,2375,0.1756239270920303,0.2534593862840153,82.12244923398781,112511.62693594601,94975.72219726493,228,0.3098473033746531,2807.051432624336
25,Standard ReCom,2395,0.1722592275727485,0.2475827807354999,82.43206332026725,113076.07927125045,95537.15898621791,228,0.30829124126342083,2807.386227958734
26,Standard ReCom,2404,0.17157186221517232,0.24583395566205435,82.34577637955265,113490.20063932442,95925.22143294409,228,0.30680654742198865,2810.784035666312
27,Standard ReCom,2390,0.1704402566609314,0.2465528681118847,82.43475833888421,113245.2961026162,95380.3155471079,224,0.31024941951825674,2807.799402174288
28,Standard ReCom,2388,0.1687223190775213,0.24588552555358176,82.85706380023625,113379.94659506639,95492.57918180955,221,0.4165880506639406,2807.7991188496485
29,Standard ReCom,2383,0.16929106443772565,0.24880129337433812,82.70553112433922,112546.12698883051,95064.28434384133,221,0.35794287492129134,2796.7444894797695
30,Standard ReCom,2375,0.16826709898681927,0.250195692700358,83.09132323256901,112153.01201941699,94518.39974048715,219,0.36090774424962074,2783.0504967915626
31,Standard ReCom,2383,0.16738946100781166,0.24790704210467135,83.33998531038071,112804.73178527706,95015.19443167014,223,0.36071163800689854,2784.602944944342
32,Standard ReCom,2355,0.17085209762438197,0.29136825814016265,82.207677759424,111524.26461678861,94013.93391816795,222,0.3602785096247616,2801.822720103197
33,Standard ReCom,2354,0.1711076409143988,0.2935337111029547,82.19092545637416,111236.78111878403,93728.57211284434,222,0.3605067340104321,2796.367598082893
34,Standard ReCom,2364,0.16974152433442596,0.29196177546413815,82.59987443775402,111923.00265885975,94188.40375904435,224,0.3614678027042796,2791.329994329503
35,Standard ReCom,2349,0.17158189764123377,0.301565169590598,82.62762966273529,111268.02098264522,93445.704680758,223,0.36492401492622073,2782.7290144487934
36,Standard ReCom,2355,0.17150927474354738,0.30111826204239256,82.72381822639848,111624.91666070606,93708.87574515081,221,0.36477043226656486,2783.5875049788547
37,Standard ReCom,2371,0.168759447906974,0.29464488682572304,83.29261813164662,112837.96809883103,94419.66910088855,223,0.35672227237768905,2772.7359469188546
38,Standard ReCom,2359,0.17117364867410997,0.29882029795883314,83.15466659000006,111848.47058403143,93432.98189428002,217,0.3586393655879442,2750.1353191164153
39,Standard ReCom,2306,0.17493197700530266,0.3073531920214835,81.3233548444857,108851.11336226531,91158.20770302064,217,0.36035690173199053,2760.6125504027336
40,Standard ReCom,2314,0.17372247161903848,0.3040520200799931,81.3853107737596,109362.11122190948,91672.89599859186,217,0.35865645269288265,2759.7477056130465
41,Standard ReCom,2340,0.17202894856636727,0.30016914343207624,82.23216844795262,110967.40613359795,93151.67125794271,217,0.35556706244411873,2755.11227139469
42,Standard ReCom,2325,0.17353066292937672,0.30185757170229904,81.36539447113233,110000.92839408122,92197.88556670469,221,0.35706770801942384,2757.1085909938874
43,Standard ReCom,2326,0.1740463083676554,0.30381418677999195,81.35792690880503,109912.26556207484,92165.42568513862,221,0.35647957397113467,2760.340184768484
44,Standard ReCom,2309,0.17575601761691267,0.3055758557819222,81.07687586522164,109077.40893202255,91659.5913967892,219,0.3562594468375394,2759.4718180273835
45,Standard ReCom,2321,0.175979069369753,0.30468362504283186,80.85779655430485,109383.89347502471,91884.9020512098,220,0.36010886367597916,2752.5170459478218
46,Standard ReCom,2321,0.1757024646663547,0.30459167214891425,81.00670286398602,109440.02249819123,91891.3707082814,220,0.3606989851842183,2752.438173834342
47,Standard ReCom,2315,0.1767115185574883,0.3054536715452315,80.9376592589274,109313.18202056154,91744.1912209214,223,0.3618386393268671,2753.8035174529405
48,Standard ReCom,2309,0.1776608273774923,0.307548796759208,80.64666777789601,109046.50602101447,91366.1419668644,218,0.36350540446482216,2757.1597071948854
49,Standard ReCom,2307,0.1762787099926661,0.30681724302581176,80.66240787410504,109062.17889281682,91339.3550841318,217,0.36403440466113934,2760.6501092594267
50,Standard ReCom,2305,0.17722989563643332,0.30878575773882366,80.5043085234558,108508.04875601594,90902.01717661797,217,0.36340783954481465,2758.9228977512207
51,Standard ReCom,2306,0.17793190190278052,0.3085170156815871,80.46054796054064,108574.59530096361,90988.3162236164,217,0.36300565382155914,2763.038667537459
52,Standard ReCom,2308,0.1786730138574073,0.30741191515091704,80.11021875373754,108916.6739071169,91360.92537856288,220,0.3616276885116081,2771.037632710555
53,Standard ReCom,2338,0.17410175830615282,0.2655876323623877,81.28789792409147,110134.35502683242,92338.77285200363,218,0.36058628058134,2758.7374972131333
54,Standard ReCom,2328,0.17532984369737728,0.26772503363859046,81.1507301916032,109313.73378060367,91648.68554075471,218,0.36118739857692145,2752.119137071428
55,Standard ReCom,2351,0.17456629703492732,0.262972459768989,81.34046978665286,110045.58779679859,92413.05038741804,218,0.24967892193503502,2758.0762484660268
56,Standard ReCom,2356,0.17401039009213304,0.2612134912683232,81.41977557459342,110354.75151360541,92615.55180959546,218,0.25015723595223793,2762.9113325781977
57,Standard ReCom,2365,0.17293264000340905,0.26009357048820736,81.63619440264227,110866.31564918761,92968.58224184485,219,0.2509947908772246,2768.590375092695
58,Standard ReCom,2340,0.17592346728391803,0.2773600872016359,80.86810597705744,110166.51440343341,92278.43566401758,221,0.25279904762132505,2775.7328493495397
59,Standard ReCom,2341,0.175468251030674,0.2775728228984117,80.87078189394614,110095.96460161003,92198.97406382763,221,0.2525272358441157,2771.5752306882537
60,Standard ReCom,2338,0.1758568785140799,0.27850825503454274,80.70218907336775,109779.07237219028,91983.17011771828,220,0.25215460169586,2771.858779228831
61,Standard ReCom,2320,0.17725236307328032,0.28044184562364627,80.44223248862595,109193.36680676196,91441.43774909209,219,0.2532244311328397,2776.5277888015316
62,Standard ReCom,2335,0.17450519197224812,0.27662840561803714,80.60857608360735,110121.77247916823,92205.19554578578,219,0.25292119187337736,2794.123724838045
63,Standard ReCom,2334,0.17459241165397088,0.27703737352701696,80.59320767432463,109979.98375409549,92033.60106665398,219,0.2535348147509293,2792.0237428254845
64,Standard ReCom,2336,0.17370388405815504,0.2767277990299918,81.8198749378503,110092.42884554961,91974.12429460889,220,0.2646586302794097,2788.8622781417985
65,Standard ReCom,2339,0.1735668433508932,0.27588015858338,81.80125885479562,110221.29902124262,91979.72228819678,221,0.2652047601544797,2788.0385073323164
66,Standard ReCom,2343,0.1736495122131738,0.27580161554845384,81.82240391253508,110375.42785425033,92108.7705120272,221,0.2647971671888034,2792.2138917255097
67,Standard ReCom,2351,0.17314003627972194,0.27291635646876045,82.05830838688257,110891.34762495679,92513.31247592626,223,0.2661345904345047,2789.681812894487
68,Standard ReCom,2333,0.17452724779032566,0.2755473815886135,81.3537404434258,109933.31265973148,91821.705988365,227,0.2658560986711111,2804.225557417778
69,Standard ReCom,2328,0.17429723116502702,0.2858002156805558,81.4519737284691,109729.81420614899,91651.79685923088,226,0.2657371759675069,2805.735003994171
70,Standard ReCom,2341,0.17430102828117883,0.2846619878692879,81.5971737485417,110363.48709786584,92185.22187215647,226,0.265266724575505,2818.4678192730325
71,Standard ReCom,2296,0.17819761322087044,0.2991704466611424,80.88982514169071,108706.78694546665,90642.8892282786,224,0.26988050710065287,2804.368343524509
72,Standard ReCom,2305,0.176453020950531,0.2966321683267092,81.63048413023506,109273.49366740994,90780.06097158614,232,0.2776605178959651,2791.107544947704
73,Standard ReCom,2326,0.1757481321705009,0.2958453440174749,81.68446189440064,109607.63099855446,91104.99821691598,232,0.2754969448334244,2834.4360537923694
74,Standard ReCom,2319,0.17588039380800152,0.2979177224469901,81.78102581571284,109138.1456292783,90686.99490786881,233,0.27575686199440774,2833.5293785150106
75,Standard ReCom,2381,0.1714123040773065,0.2906539539841534,84.09726150519798,112634.69104893628,92464.97108590163,244,0.30125497823563935,2807.462427041795
76,Standard ReCom,2384,0.17217120711609418,0.29037145652011254,83.95110269421046,112689.79655098189,92485.87075537411,244,0.3015702465096246,2807.178697645036
77,Standard ReCom,2366,0.17325040513702444,0.292631154975422,83.60303816361056,111746.40123027959,91804.65263698326,246,0.30170419271413157,2799.0160145602613
78,Standard ReCom,2361,0.17524721107311966,0.29802804222859486,83.27038357689713,111077.52400976504,91416.52751927353,248,0.30040003654353536,2798.976103791848
79,Standard ReCom,2358,0.17509351591757502,0.2989822025276795,83.37104106208486,110886.4147498353,91246.46674807793,249,0.3008201615546394,2799.8238016564756
80,Standard ReCom,2313,0.17885602344576618,0.3065237471461927,81.36565678922119,107902.4111788723,90026.98287256307,242,0.3100066319688939,2822.2275471519583
81,Standard ReCom,2306,0.178264800444259,0.3099060736336143,81.52192935698379,106885.0692076652,89168.02683152814,242,0.310229788307395,2779.2443901689526
82,Standard ReCom,2275,0.18153682401145052,0.3192268800152032,80.73583844238368,106148.76853686981,88421.74221836623,242,0.3125856737578186,2786.4030639208345
83,Standard ReCom,2308,0.17963565190660952,0.3149872518379638,81.4862125998745,107452.82131069976,89630.547076071,242,0.30876906652357755,2772.9407329149085
84,Standard ReCom,2297,0.18023261948879854,0.3169076324014918,81.3154089733362,106477.80949715528,88788.30639647282,243,0.30989689008383864,2768.988129283816
85,Standard ReCom,2289,0.18059289868905745,0.3191107086014545,81.26427575523935,106183.22246698765,88511.16682108917,243,0.3107900220802061,2760.8576809491306
86,Standard ReCom,2286,0.17983306342426342,0.31927212304078534,81.41071614040149,106152.34270046471,88514.26820352064,243,0.31047608523669673,2761.291333411606
87,Standard ReCom,2264,0.178971011529387,0.31847204257608214,80.90195754674899,104979.35779323606,87431.10986007577,239,0.3125568483240206,2757.9857787729065
88,Standard ReCom,2259,0.17901405796695716,0.3186820706954473,80.99209820697698,104899.08552227578,87605.96192134346,233,0.32106147638664617,2752.0895710166224
89,Standard ReCom,2219,0.18218846635138852,0.3276805917650288,79.8930398415712,102837.76956075362,85819.68835427391,233,0.32466521550359756,2765.6907179712866
90,Standard ReCom,2218,0.18421394899891746,0.3290593088804289,79.37050328152844,102403.52252798382,85642.15968752193,229,0.32388645454410364,2772.350058738107
